id,year,fall,name,name_type,mass,latitude,longitude,type
5026,1949-01-01T00:00:00.000,Fell,Benton,Valid,2840,45.950000,-67.550000,Point
48975,2008-01-01T00:00:00.000,Fell,Berduc,Valid,270,-31.910000,-58.328330,Point
5028,1924-01-01T00:00:00.000,Fell,Béréba,Valid,18000,11.650000,-3.650000,Point
5029,1811-01-01T00:00:00.000,Fell,Berlanguillas,Valid,1440,41.683330,-3.800000,Point
47355,2004-01-01T00:00:00.000,Fell,Berthoud,Valid,960,40.305830,-105.023250,Point
5032,1859-01-01T00:00:00.000,Fell,Bethlehem,Valid,13.9,42.533330,-73.833330,Point
5034,1859-01-01T00:00:00.000,Fell,Beuste,Valid,2000,43.216670,-0.233330,Point
5035,1921-01-01T00:00:00.000,Fell,Beyrout,Valid,1100,33.883330,35.500000,Point
5037,1877-01-01T00:00:00.000,Fell,Bhagur,Valid,18,20.883330,74.833330,Point
36591,2002-01-01T00:00:00.000,Fell,Bhawad,Valid,678,26.508330,73.115280,Point
5039,1893-01-01T00:00:00.000,Fell,Bherai,Valid,100,20.833330,71.466670,Point
5040,1940-01-01T00:00:00.000,Fell,Bhola,Valid,1047,22.683330,90.650000,Point
5041,1905-01-01T00:00:00.000,Fell,Bholghati,Valid,2500,22.083330,86.900000,Point
5042,1827-01-01T00:00:00.000,Fell,Bialystok,Valid,4000,53.100000,23.200000,Point
5043,1887-01-01T00:00:00.000,Fell,Bielokrynitschie,Valid,1900,50.133330,27.166670,Point
5045,1999-01-01T00:00:00.000,Fell,Bilanga,Valid,25000,12.450000,-0.083330,Point
5051,1984-01-01T00:00:00.000,Fell,Binningup,Valid,488.1,-33.156390,115.676390,Point
5056,1923-01-01T00:00:00.000,Fell,Birni N'konni,Valid,560,13.766670,5.300000,Point
5059,1843-01-01T00:00:00.000,Fell,Bishopville,Valid,6000,34.166670,-80.283330,Point
5060,1895-01-01T00:00:00.000,Fell,Bishunpur,Valid,1039,25.383330,82.600000,Point
5063,1796-01-01T00:00:00.000,Fell,Bjelaja Zerkov,Valid,1850,49.783330,30.166670,Point
5064,1899-01-01T00:00:00.000,Fell,Bjurböle,Valid,330000,60.400000,25.800000,Point
5065,1941-01-01T00:00:00.000,Fell,Black Moshannan Park,Valid,705,40.916670,-78.083330,Point
5068,1906-01-01T00:00:00.000,Fell,Blackwell,Valid,2381,36.833330,-97.333330,Point
5071,1909-01-01T00:00:00.000,Fell,Blanket,Valid,5100,31.833330,-98.833330,Point
5072,1833-01-01T00:00:00.000,Fell,Blansko,Valid,470,49.366670,16.633330,Point
5076,1938-01-01T00:00:00.000,Fell,Bloomington,Valid,67.8,40.480000,-89.004170,Point
5090,1977-01-01T00:00:00.000,Fell,Bo Xian,Valid,7500,33.833330,115.833330,Point
5093,1804-01-01T00:00:00.000,Fell,Bocas,Valid,56,23.000000,-102.000000,Point
5097,1962-01-01T00:00:00.000,Fell,Bogou,Valid,8800,12.500000,0.700000,Point
5098,1916-01-01T00:00:00.000,Fell,Boguslavka,Valid,256000,44.550000,131.633330,Point
5110,1808-01-01T00:00:00.000,Fell,Borgo San Donino,Valid,1676,44.866670,10.050000,Point
5111,1894-01-01T00:00:00.000,Fell,Bori,Valid,8600,21.950000,78.033330,Point
5112,1930-01-01T00:00:00.000,Fell,Boriskino,Valid,1342,54.233330,52.483330,Point
5113,1852-01-01T00:00:00.000,Fell,Borkut,Valid,7000,48.150000,24.283330,Point
5114,1812-01-01T00:00:00.000,Fell,Borodino,Valid,500,55.466670,35.866670,Point
5117,1823-01-01T00:00:00.000,Fell,Botschetschki,Valid,614,51.333330,33.883330,Point
57168,2003-01-01T00:00:00.000,Fell,Boumdeid (2003),Valid,190,17.710670,-11.371500,Point
57167,2011-01-01T00:00:00.000,Fell,Boumdeid (2011),Valid,3599,17.174930,-11.341330,Point
5121,1969-01-01T00:00:00.000,Fell,Bovedy,Valid,5460,54.566670,-6.333330,Point
5128,1886-01-01T00:00:00.000,Fell,Bradford Woods,Valid,762,40.500000,-80.083330,Point
5133,1847-01-01T00:00:00.000,Fell,Braunau,Valid,39000,50.600000,16.300000,Point
5134,1956-01-01T00:00:00.000,Fell,Breitscheid,Valid,1500,50.666940,8.183610,Point
5135,1855-01-01T00:00:00.000,Fell,Bremervörde,Valid,7250,53.400000,9.100000,Point
5140,1933-01-01T00:00:00.000,Fell,Brient,Valid,219,52.133330,59.316670,Point
5156,1960-01-01T00:00:00.000,Fell,Bruderheim,Valid,303000,53.900000,-112.883330,Point
30448,2001-01-01T00:00:00.000,Fell,Bukhara,Valid,5300,39.779780,64.600350,Point
5163,1964-01-01T00:00:00.000,Fell,Bulls Run,Valid,2250,,,
48653,2007-01-01T00:00:00.000,Fell,Bunburra Rockhole,Valid,324,-31.350000,129.190000,Point
5165,1942-01-01T00:00:00.000,Fell,Bununu,Valid,357,10.016670,9.583330,Point
5169,1919-01-01T00:00:00.000,Fell,Bur-Gheluai,Valid,120000,5.000000,48.000000,Point
5175,1990-01-01T00:00:00.000,Fell,Burnwell,Valid,1504,37.621940,-82.237220,Point
5177,1946-01-01T00:00:00.000,Fell,Bursa,Valid,25000,40.200000,29.233330,Point
5178,1863-01-01T00:00:00.000,Fell,Buschhof,Valid,5000,46.450000,25.783330,Point
5181,1852-01-01T00:00:00.000,Fell,Bustee,Valid,1500,26.783330,82.833330,Point
5183,1861-01-01T00:00:00.000,Fell,Butsura,Valid,29000,27.083330,84.083330,Point
48654,2008-01-01T00:00:00.000,Fell,Buzzard Coulee,Valid,41000,52.996000,-109.848170,Point
5185,1870-01-01T00:00:00.000,Fell,Cabezo de Mayo,Valid,25000,37.983330,-1.166670,Point
5186,1886-01-01T00:00:00.000,Fell,Cabin Creek,Valid,48500,35.500000,-93.500000,Point
5187,1919-01-01T00:00:00.000,Fell,Cacak,Valid,212,43.838890,20.333330,Point
45976,2007-01-01T00:00:00.000,Fell,Cali,Valid,478,3.405000,-76.510000,Point
5200,1916-01-01T00:00:00.000,Fell,Calivo,Valid,2400,11.750000,122.333330,Point
5249,1991-01-01T00:00:00.000,Fell,Campos Sales,Valid,23680,-7.033330,-40.166670,Point
5250,1964-01-01T00:00:00.000,Fell,Çanakkale,Valid,4000,39.800000,26.600000,Point
5251,1861-01-01T00:00:00.000,Fell,Cañellas,Valid,945,41.250000,1.666670,Point
5252,1866-01-01T00:00:00.000,Fell,Cangas de Onis,Valid,34000,43.383330,-5.150000,Point
5253,1973-01-01T00:00:00.000,Fell,Canon City,Valid,1400,38.470280,-105.241390,Point
5260,1846-01-01T00:00:00.000,Fell,Cape Girardeau,Valid,2300,37.266670,-89.583330,Point
5264,1934-01-01T00:00:00.000,Fell,Capilla del Monte,Valid,750,-30.883330,-64.550000,Point
45817,2007-01-01T00:00:00.000,Fell,Carancas,Valid,342,-16.664440,-69.043890,Point
5265,1902-01-01T00:00:00.000,Fell,Caratash,Valid,8,38.500000,27.000000,Point
5291,1874-01-01T00:00:00.000,Fell,Castalia,Valid,7300,36.083330,-78.066670,Point
5292,1791-01-01T00:00:00.000,Fell,Castel Berardenga,Valid,,43.350000,11.500000,Point
5293,1848-01-01T00:00:00.000,Fell,Castine,Valid,94,44.383330,-68.750000,Point
5295,1583-01-01T00:00:00.000,Fell,Castrovillari,Valid,15000,39.800000,16.200000,Point
5296,1810-01-01T00:00:00.000,Fell,Caswell County,Valid,1360,36.500000,-79.250000,Point
5306,1988-01-01T00:00:00.000,Fell,Ceniceros,Valid,1025,26.466670,-105.233330,Point
5307,1956-01-01T00:00:00.000,Fell,Centerville,Valid,45.6,43.200000,-96.916670,Point
5308,1840-01-01T00:00:00.000,Fell,Cereseto,Valid,6460,45.083330,8.300000,Point
5313,1998-01-01T00:00:00.000,Fell,Chadong,Valid,3700,28.533330,109.316670,Point
5314,1814-01-01T00:00:00.000,Fell,Chail,Valid,0.5,25.366670,81.666670,Point
5315,1907-01-01T00:00:00.000,Fell,Chainpur,Valid,8200,25.850000,83.483330,Point
5316,1933-01-01T00:00:00.000,Fell,Chajari,Valid,18300,-30.783330,-58.050000,Point
5320,1838-01-01T00:00:00.000,Fell,Chandakapur,Valid,8800,20.266670,76.016670,Point
5321,1885-01-01T00:00:00.000,Fell,Chandpur,Valid,1100,27.283330,79.050000,Point
5322,1977-01-01T00:00:00.000,Fell,Changde,Valid,1810,29.083330,111.750000,Point
5325,1812-01-01T00:00:00.000,Fell,Chantonnay,Valid,31500,46.683330,1.050000,Point
5328,1835-01-01T00:00:00.000,Fell,Charlotte,Valid,4300,36.166670,-87.333330,Point
5329,1810-01-01T00:00:00.000,Fell,Charsonville,Valid,27000,47.933330,1.566670,Point
5330,1834-01-01T00:00:00.000,Fell,Charwallas,Valid,12000,29.483330,75.500000,Point
5331,1815-01-01T00:00:00.000,Fell,Chassigny,Valid,4000,47.716670,5.366670,Point
5332,1841-01-01T00:00:00.000,Fell,Château-Renard,Valid,30000,47.933330,2.916670,Point
5334,1925-01-01T00:00:00.000,Fell,Chaves,Valid,2945,41.933330,-7.466670,Point
5338,1988-01-01T00:00:00.000,Fell,Chela,Valid,2936,-3.666670,32.500000,Point
57165,2013-01-01T00:00:00.000,Fell,Chelyabinsk,Valid,100000,54.816670,61.116670,Point
47347,2007-01-01T00:00:00.000,Fell,Chergach ,Valid,100000,23.696390,-5.014720,Point
5339,1964-01-01T00:00:00.000,Fell,Chernyi Bor,Valid,6000,53.700000,30.100000,Point
5340,1933-01-01T00:00:00.000,Fell,Cherokee Springs,Valid,8400,35.033330,-81.883330,Point
5341,1901-01-01T00:00:00.000,Fell,Chervettaz,Valid,705,46.550000,6.816670,Point
5342,1939-01-01T00:00:00.000,Fell,Chervony Kut,Valid,1700,50.833330,34.000000,Point
5344,1880-01-01T00:00:00.000,Fell,Chetrinahatti,Valid,72,14.500000,76.500000,Point
5345,1981-01-01T00:00:00.000,Fell,Chiang Khan,Valid,367,17.900000,101.633330,Point
5349,1938-01-01T00:00:00.000,Fell,Chicora,Valid,303,40.933330,-79.733330,Point
5355,1988-01-01T00:00:00.000,Fell,Chisenga,Valid,3920,-10.059440,33.395000,Point
5356,1966-01-01T00:00:00.000,Fell,Chitado,Valid,,-17.350000,13.966670,Point
5357,1978-01-01T00:00:00.000,Fell,Chitenay,Valid,4000,47.470830,0.976670,Point
5364,1979-01-01T00:00:00.000,Fell,Cilimus,Valid,1600,-6.950000,108.100000,Point
5374,1984-01-01T00:00:00.000,Fell,Claxton,Valid,1455,32.102500,-81.872780,Point
5383,1822-01-01T00:00:00.000,Fell,Clohars,Valid,48.6,,,
5395,1917-01-01T00:00:00.000,Fell,Colby (Wisconsin),Valid,104000,44.900000,-90.283330,Point
5397,1838-01-01T00:00:00.000,Fell,Cold Bokkeveld,Valid,5200,-33.133330,19.383330,Point
5401,1994-01-01T00:00:00.000,Fell,Coleman,Valid,469,43.761110,-84.507780,Point
5403,1890-01-01T00:00:00.000,Fell,Collescipoli,Valid,5000,42.533330,12.616670,Point
5418,1965-01-01T00:00:00.000,Fell,Conquista,Valid,20350,-19.850000,-47.550000,Point
5451,1844-01-01T00:00:00.000,Fell,Cosina,Valid,1200,21.166670,-100.866670,Point
5465,1917-01-01T00:00:00.000,Fell,Cranganore,Valid,1460,10.200000,76.266670,Point
5470,1936-01-01T00:00:00.000,Fell,Crescent,Valid,78.400000000000006,35.950000,-97.583330,Point
5474,1877-01-01T00:00:00.000,Fell,Cronstad,Valid,3650,-27.700000,27.300000,Point
5476,1892-01-01T00:00:00.000,Fell,Cross Roads,Valid,167,35.633330,-78.133330,Point
5477,1902-01-01T00:00:00.000,Fell,Crumlin,Valid,4255,54.616670,-6.216670,Point
5496,1919-01-01T00:00:00.000,Fell,Cumberland Falls,Valid,17000,36.833330,-84.350000,Point
5500,1877-01-01T00:00:00.000,Fell,Cynthiana,Valid,6000,38.400000,-84.250000,Point
5504,1981-01-01T00:00:00.000,Fell,Dahmani,Valid,18000,35.616670,8.833330,Point
